Video filename,Talker,Modaliy,Style,Story,Sentence,New filename,A start,V start,A end,V end,Comments,Problematic,Error Type,Accent,Syllable Number,,,Interference at the end,Interference at the beginning,,,Start,End
sp02_av_ids_sty_C,sp02,av,ids,1,13,sp02_av_ids_str1_snt13,396.89,396.7,399,399.26,,,,Hiberno English,9,,,--,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,35,sp03_av_ids_str3_snt35,47.6,47.46,49.3,49.46,,,,American English,8,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,36,sp03_av_ids_str3_snt36,51.7,51.56,53.72,53.96,,,,American English,9,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,37,sp03_av_ids_str3_snt37,56.64,56.4,58.92,59.08,,,,American English,10,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,38,sp03_av_ids_str3_snt38,61.28,61.08,63.51,63.68,,,,American English,10,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,39,sp03_av_ids_str3_snt39,66.28,66.08,68.46,68.72,,,,American English,10,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,40,sp03_av_ids_str3_snt40,71.12,70.96,74,74.1,,,,American English,13,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,41,sp03_av_ids_str3_snt41,76.7,76.54,79.39,79.56,,,,American English,13,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,42,sp03_av_ids_str3_snt42,81.98,81.88,83.76,83.88,,,,American English,9,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,43,sp03_av_ids_str3_snt43,86.08,85.92,87.62,87.74,,,,American English,6,,,No,No,,,--,--
sp03_av_ids_sty_B,sp03,av,ids,3,44,sp03_av_ids_str3_snt44,90.03,89.7,92.92,93.04,,,,American English,12,,,No,No,,,--,--
